client_id,client_name,region,contract_type,consumption_kwh,billing_date,co2_emissions,cost_per_kwh,total_cost,renewable_energy_percentage,estacion,consumption_outlier,co2_emissions_outlier,cost_per_kwh_outlier,total_cost_outlier,renewable_energy_percentage_outlier,meses
1,"hood, cooper and burke",centro,residencial,3423.0,2024-03-23,276.74,0.13,444.99,89.0,Primavera,False,False,False,False,False,3
2,"hamilton, white and smith",este,comercial,7714.0,2024-08-05,1805.79,0.15,1157.1,37.0,Verano,False,False,False,False,False,8
3,keith group,sur,residencial,3745.0,2024-02-04,726.34,0.14,524.3000000000001,69.0,Invierno,False,False,False,False,False,2
4,jackson-strong,oeste,comercial,8151.0,2024-06-21,130.05,0.18,1467.1799999999998,29.0,Verano,False,False,False,False,False,6
5,"coleman, ayala and sullivan",este,comercial,3137.0,2024-02-16,961.67,0.24,752.88,50.0,Invierno,False,False,False,False,False,2
6,"robinson, mclaughlin and mitchell",norte,comercial,8849.0,2024-04-27,1023.01,0.21,1858.29,8.0,Primavera,False,False,False,False,False,4
7,rios-johnson,centro,residencial,2218.0,2024-03-01,317.11,0.21,465.78,10.0,Primavera,False,False,False,False,False,3
8,"robinson, gutierrez and daniels",oeste,residencial,5349.0,2024-05-10,558.01,0.13,695.37,29.0,Primavera,False,False,False,False,False,5
9,wallace ltd,este,residencial,8663.0,2024-05-01,1595.44,0.15,1299.45,48.0,Primavera,False,False,False,False,False,5
10,"richardson, jenkins and boyd",centro,residencial,4058.0,2024-07-26,232.76,0.14,568.12,92.0,Verano,False,False,False,False,False,7
11,"smith, park and fitzgerald",norte,residencial,7186.0,2024-03-17,1026.21,0.22,1580.92,15.0,Primavera,False,False,False,False,False,3
12,robinson-marshall,este,comercial,3853.0,2024-01-18,722.77,0.15,577.9499999999999,66.0,Invierno,False,False,False,False,False,1
13,ramirez plc,norte,comercial,986.0,2024-08-12,1608.64,0.17,167.62,96.0,Verano,False,False,False,False,False,8
14,richardson-duncan,norte,residencial,4803.0,2024-01-28,354.09,0.23,1104.69,18.0,Invierno,False,False,False,False,False,1
15,stewart ltd,este,comercial,598.0,2024-10-15,1373.16,0.22,131.56,4.0,Otoño,False,False,False,False,False,10
16,sparks group,centro,residencial,5829.0,2024-08-03,1474.46,0.2,1165.8,75.0,Verano,False,False,False,False,False,8
17,"williams, fitzpatrick and wilson",este,comercial,1741.0,2024-06-25,839.79,0.19,330.79,30.0,Verano,False,False,False,False,False,6
18,"estrada, brown and nelson",norte,comercial,2994.0,2024-06-11,1409.38,0.16,479.04,79.0,Verano,False,False,False,False,False,6
19,"wilson, daniels and brewer",norte,residencial,5528.0,2024-06-06,1890.49,0.15,829.1999999999999,70.0,Verano,False,False,False,False,False,6
20,brown ltd,centro,residencial,5066.0,2024-08-23,86.38,0.2,1013.2,56.0,Verano,False,False,False,False,False,8
21,moore llc,sur,comercial,7905.0,2024-01-03,1185.6,0.21,1660.05,18.0,Invierno,False,False,False,False,False,1
22,robles-hawkins,norte,comercial,2755.0,2024-01-12,70.35,0.14,385.7000000000001,31.0,Invierno,False,False,False,False,False,1
23,duncan-barry,sur,residencial,6469.0,2024-08-17,156.49,0.14,905.66,44.0,Verano,False,False,False,False,False,8
24,"rivera, johnson and garcia",norte,residencial,5105.0,2024-10-18,136.63,0.17,867.85,69.0,Otoño,False,False,False,False,False,10
25,richards group,este,residencial,5484.0,2024-02-09,1290.56,0.2,1096.8,67.0,Invierno,False,False,False,False,False,2
26,"reyes, baker and sloan",este,comercial,7398.0,2024-08-29,957.36,0.15,1109.7,68.0,Verano,False,False,False,False,False,8
27,hall inc,oeste,residencial,892.0,2024-09-12,990.88,0.18,160.56,46.0,Otoño,False,False,False,False,False,9
28,riley plc,norte,residencial,6402.0,2024-07-07,1159.61,0.22,1408.44,62.0,Verano,False,False,False,False,False,7
29,lin-davila,oeste,residencial,4451.0,2024-06-08,71.06,0.19,845.69,49.0,Verano,False,False,False,False,False,6
30,lopez-gonzales,oeste,comercial,8722.0,2024-06-24,471.17,0.15,1308.3,18.0,Verano,False,False,False,False,False,6
31,wilson-petty,este,residencial,8305.0,2024-08-20,1425.59,0.22,1827.1,34.0,Verano,False,False,False,False,False,8
